ACTIVIDAD INTERNA,Renta y complementarios /1,Renta cuotas,Retención en la fuente a título de renta /2,IVA_IN,Declaraciones IVA,Retención en la fuente a título de IVA,Timbre nacional,G.M.F.,Patrimonio /3,Riqueza /4,Impuesto al consumo /5,Impuesto gasolina y ACPM,Impuesto al carbono /6,CREE,Declaraciones CREE /7,Retención CREE,Impuesto unificado RST (Simple)  /8,Impuesto de normalización tributaria /9,Consumo bienes inmuebles /10,Productos plásticos de un solo uso /11,Impuestos saludables - Bebidas azucaradas /12,Impuestos saludables - Comestibles ultraprocesados /13,ACTIVIDAD EXTERNA,IVA_EX,Arancel /14,Por identificar,Total,Año
6297500.000000001,4965000.0,4515833.333333334,449166.6666666667,833333.3333333334,833333.3333333334,,499166.6666666667,,,,,,,,,,,,,,,,3129166.666666667,61666.66666666667,3067500.0000000005,,9426666.666666668,1970
6538571.428571427,4957142.857142856,4372857.142857142,584285.7142857142,955714.2857142856,955714.2857142856,,625714.2857142857,,,,,,,,,,,,,,,,3134999.9999999995,245714.28571428568,2889285.714285714,,9673571.428571427,1971
6567500.0,5013125.0,4288750.0,724375.0,904375.0,904375.0,,650000.0,,,,,,,,,,,,,,,,3176250.0,342500.0,2833750.0,,9743750.0,1972
6374210.52631579,4763157.894736842,3962105.263157895,801052.6315789474,887368.4210526316,887368.4210526316,,723684.2105263158,,,,,,,,,,,,,,,,3647368.4210526315,407368.4210526316,3240000.0,,10021578.94736842,1973
6192400.0,4454000.0,3598400.0,855600.0,1022000.0,1022000.0,,716400.0,,,,,,,,,,,,,,,,3609600.0,556000.0,3053600.0,,9802000.0,1974
8671379.310344828,6315517.24137931,5414482.75862069,901034.4827586208,1784137.9310344828,1784137.9310344828,,571724.1379310346,,,,,,,,,,,,,,,,4159655.1724137934,891034.4827586208,3268620.6896551726,,12831034.48275862,1975
8059444.444444445,5769166.666666667,3041666.666666667,2727500.0,1804722.2222222222,1804722.2222222222,,485555.55555555556,,,,,,,,,,,,,,,,4791944.444444445,990000.0,3801944.4444444445,,12851388.88888889,1976
7384680.851063831,5146382.978723405,4215531.914893618,930851.0638297874,1775319.1489361704,1775319.1489361704,,462978.7234042554,,,,,,,,,,,,,,,,5137021.276595745,1086595.7446808512,4050425.531914894,,12521702.127659576,1977
7982857.142857142,5478035.714285714,4475535.714285714,1002499.9999999999,1991249.9999999998,1991249.9999999998,,513571.4285714285,,,,,,,,,,,,,,,,5180535.714285714,1340357.1428571427,3840178.571428571,,13163392.857142854,1978
7946805.555555556,5345138.888888889,4138750.0,1206388.888888889,2160555.5555555555,2160555.5555555555,,441111.1111111111,,,,,,,,,,,,,,,,4835972.222222222,1297500.0,3538472.2222222225,,12782777.777777778,1979
8004999.999999999,5368666.666666666,3904777.7777777775,1463888.8888888888,2084222.222222222,2084222.222222222,,552111.111111111,,,,,,,,,,,,,,,,5592444.444444444,1645111.111111111,3947333.333333333,,13597444.444444442,1980
7489824.561403509,4800526.315789474,3388859.649122807,1411666.6666666667,2255526.315789474,2255526.315789474,,433771.92982456146,,,,,,,,,,,,,,,,4797719.298245614,1505175.4385964915,3292543.859649123,,12287543.859649124,1981
7661063.829787234,4813475.1773049645,3308865.2482269504,1504609.929078014,2378439.716312057,2378439.716312057,,469148.93617021275,,,,,,,,,,,,,,,,4627943.262411348,1509361.7021276597,3118581.560283688,,12289007.092198582,1982
9070545.454545453,6074606.060606061,4394848.484848484,1679757.5757575757,2545272.727272727,2545272.727272727,,450666.6666666666,,,,,,,,,,,,,,,,3891030.3030303027,1294363.6363636362,2596666.6666666665,,12961575.757575758,1983
9955641.025641026,6196871.794871795,4197948.717948718,1998923.076923077,3193282.0512820515,3193282.0512820515,,565487.1794871795,,,,,,,,,,,,,,,,3687897.435897436,1324461.5384615385,2363435.8974358975,,13643538.461538462,1984
11612857.142857144,6810882.352941177,4225504.201680672,2585378.1512605045,3983235.294117647,3983235.294117647,,818739.4957983193,,,,,,,,,,,,,,,,5511470.588235294,1712521.0084033615,3798949.579831933,,17124327.731092438,1985
12971076.38888889,7729201.388888889,4313993.055555556,3415208.3333333335,4376388.888888889,4376388.888888889,,865486.1111111111,,,,,,,,,,,,,,,,7096562.5,2178576.388888889,4917986.111111111,,20067638.888888888,1986
14202709.497206705,8891871.508379888,4518715.083798883,4373156.424581006,4836983.240223464,4836983.240223464,,473854.748603352,,,,,,,,,,,,,,,,9296787.709497208,2557513.966480447,6739273.74301676,,23499497.206703912,1987
14731353.711790392,9321593.886462882,4476288.2096069865,4845305.676855895,4993231.4410480345,4993231.4410480345,,416528.38427947595,,,,,,,,,,,,,,,,10227489.082969433,2920611.3537117904,7306877.729257642,,24958842.794759825,1988
15919723.183391003,10151297.57785467,5140916.9550173,5010380.62283737,5314913.494809688,5314913.494809688,,453512.1107266436,,,,,,,,,,,,,,,,9715899.653979238,2793719.7231833907,6922179.930795847,,25635622.83737024,1989
16572339.869281046,10751803.921568628,5670169.934640523,5081633.986928104,5378849.673202614,5378849.673202614,,441686.2745098039,,,,,,,,,,,,,,,,9217620.91503268,2777385.620915033,6440235.294117647,,25789960.784313727,1990
21432278.350515466,14533608.247422682,8028515.463917526,6505092.783505156,6477731.958762887,6477731.958762887,,420938.14432989695,,,,,,,,,,,,,,,,7149886.5979381455,2838226.804123712,4311659.793814434,,28582164.948453613,1991
23035741.350906093,15208574.958813837,6141738.056013179,9066836.902800659,7369464.579901152,7369464.579901152,,457701.81219110376,,,,,,,,,,,,,,,,6565271.828665568,3789266.8863261943,2776004.9423393738,,29601013.179571662,1992
24803357.958361316,15570060.443250503,5459677.635997313,10110382.80725319,9129241.101410342,9129241.101410342,,104056.4137004701,,,,,,,,,,,,,,,,9719583.613163196,6056124.91605104,3663458.6971121556,,34522941.571524516,1993
25744241.09589041,15399726.02739726,5672772.602739726,9726953.424657535,9870668.493150685,9870668.493150685,,473846.5753424658,,,,,,,,,,,,,,,,10280191.780821918,6261780.821917809,4018410.95890411,61873.97260273973,36086306.84931507,1994
26749077.981651377,15979628.440366972,5271233.944954128,10708394.495412843,10175027.52293578,10175027.52293578,,594422.0183486239,,,,,,,,,,,,,,,,10605889.908256881,6587238.532110091,4018651.376146789,74064.22018348624,37429032.110091746,1995
28688137.25490196,15259061.085972851,4874513.574660634,10384547.511312218,12867786.57616893,10892247.360482655,1975539.2156862745,561289.592760181,,,,,,,,,,,,,,,,9521757.164404223,6105343.137254902,3416414.0271493215,120580.69381598794,38330475.11312217,1996
31151262.415892344,17554873.43800064,5912630.567125921,11642242.87087472,12849330.342838835,10519247.036206344,2330083.30663249,747058.6350528677,,,,,,,,,,,,,,,,10999131.68856136,6662210.829862224,4336920.8586991355,418141.6212752323,42568535.72572894,1997
29903640.856672157,16641987.918725973,4508135.639758375,12133852.2789676,12390768.808347061,9854478.308621636,2536290.4997254256,870884.1295991213,,,,,,,,,,,,,,,,11308056.01317957,6594003.2948929155,4714052.718286655,34074.68423942888,41245771.554091156,1998
32298718.270922344,16839419.45212365,5292643.880371953,11546775.571751697,12400138.225684846,9921148.529781353,2478989.6959034936,845810.5051520483,2213350.0879617995,,,,,,,,,,,,,,,8979826.589595376,5364156.823322443,3615669.766272933,26680.07036943956,41305224.93088716,1999
34102123.642967425,17395339.98951208,5718675.925606651,11676664.063905427,13380144.97425289,10575464.264261616,2804680.7099912744,930650.6967665878,2395987.9824358677,,,,,,,,,,,,,,,10411556.816230644,6338900.903016859,4072655.913213784,78663.61500577751,44592344.07420384,2000
41738375.908452116,22029251.81595168,8522363.312075997,13506888.503875684,15720055.433173545,11239209.0876213,4480846.345552247,903282.9143719737,3085785.744954916,,,,,,,,,,,,,,,11605890.30125375,6768385.873621045,4837504.427632707,47230.162378701614,53391496.372084565,2001
43957124.61234801,21794086.719637305,7295518.927561713,14498567.792075593,15956336.530024603,11259965.356672702,4696371.173351899,870914.6572375755,2825809.753160747,2509976.952287781,,,,,,,,,,,,,,11310414.997461366,6995576.762403405,4314838.23505796,27250.65780854824,55294790.26761793,2002
48190693.15418128,23632320.643512946,7781192.758081784,15851127.885431165,18225282.18354865,12982437.382276239,5242844.801272412,963890.7881748853,3055398.5302430755,2313801.008701711,,,,,,,,,,,,,,12606802.912359146,8300453.437034344,4306349.475324803,37722.096755228464,60835218.16329566,2003
53996172.810680516,28496755.818946216,11692490.887844276,16804264.93110194,19665665.45536223,14003972.294170393,5661693.161191838,1026451.5060202122,3996419.003393463,810881.0269583848,,,,,,,,,,,,,,13474054.070789415,9221902.623105416,4252151.447684,158047.74546168974,67628274.62693162,2004
58385895.373223215,31582572.56224807,13499069.939599669,18083502.622648403,20757579.635881215,15144062.381862015,5613517.254019199,1147199.1314039726,4090674.403059625,807869.6406303236,,,,,,,,,,,,,,15818128.764601368,10694175.799497375,5123952.965103994,57644.633064735615,74261668.77088933,2005
66108907.8282423,36554888.557621,16047775.969740748,20507112.58788025,23037816.707125474,17753027.98451655,5284788.722608921,1290082.3959008537,4351778.927689549,874341.2399054298,,,,,,,,,,,,,,19990399.072282728,13972320.292200916,6018078.780081814,32049.077368335315,86131355.97789337,2006
72334960.98916695,38169770.73410708,15769874.324199324,22399896.409907747,26318644.000982128,20205567.806153968,6113076.194828158,1332811.4264844027,4612036.356647641,1901698.470945696,,,,,,,,,,,,,,20573760.2336208,14025619.58911585,6548140.644504951,28418.274146868258,92937139.49693462,2007
75722309.4555874,38204712.03438396,14528601.71919771,23676110.315186247,27016333.810888253,20519822.349570204,6496511.461318052,1159564.4699140403,4584010.028653296,4757689.111747852,,,,,,,,,,,,,,20261373.925501432,13916669.054441262,6344704.871060172,51871.06017191977,96035554.44126076,2008
78869207.27802387,43109067.18365485,18974939.25409971,24134127.929555144,27323753.486761276,20782381.815755613,6541371.671005664,908443.3068605368,4383816.994382022,3144126.3063651677,,,,,,,,,,,,,,17875943.55194382,12070424.857856417,5805518.694087401,39654.50075561798,96784805.3307233,2009
75694286.70725255,38278346.70499945,12824466.605921034,25453880.099078417,29495656.61652109,22570445.59563785,6925211.0208832435,486261.72256522544,4390636.078965282,3043385.5842014975,,,,,,,,,,,,,,19826920.639135465,13202708.373430837,6624212.265704628,40661.646909462215,95561868.99329747,2010
91309051.41867569,45701630.51529559,16448695.569577374,29252934.945718218,32953100.554612532,25078109.3537459,7874991.200866632,162649.85611891563,6653899.724373277,5837770.768275363,,,,,,,,,,,,,,22233318.24272477,16474784.436633741,5758533.806091027,79680.79346633416,113622050.45486678,2011
105307898.1340769,58589419.47135345,28183079.362037156,30406340.109316286,34009897.807085015,25460081.654090967,8549816.152994048,75557.73795103666,7006215.631005766,5626807.486681614,,,,,,,,,,,,,,21770668.24843818,16700156.425747188,5070511.822690991,53346.577952594496,127131912.96046765,2012
111856776.43321395,58269613.02245013,26371964.356998492,31897648.66545163,31757677.61592949,26609575.859697085,5148101.756232403,75051.00048916979,7412965.3092006035,5601386.560307944,,1580201.8602312722,3439635.338109603,,3720245.7264957274,,3720245.7264957274,,,,,,,20495712.758339617,15170670.798979236,5325041.959360382,179946.6706385118,132532435.8621921,2013
116750170.86646417,47823238.75348612,14528198.132654298,33295040.620831817,34332064.99333091,29506924.942403298,4825140.05092761,87824.6635140051,7824242.754941191,5288239.254969082,,2115578.998423669,3614505.8809263976,,15664475.566872802,7268720.746938281,8395754.81993452,,,,,,,21819862.98047775,16488865.041833393,5330997.938644355,43506.72971989815,138613540.57666183,2014
117155571.8364827,46998759.7955707,12142916.524701875,34855843.27086882,33615754.68483816,28280165.814877912,5335588.86996025,120078.36456558775,7656379.329926179,,6297318.571292447,2072178.3077796707,3882971.039182283,,16512131.743327655,8020755.252697332,8491376.490630325,,,,,,,23286318.001135718,17528138.557637706,5758179.443498013,52514.4804088586,140494404.3180273,2015
115071129.72720441,46712624.84085132,11678586.450434968,35034038.39041635,32957350.884215806,27626350.197615728,5331000.686600077,114049.50745355805,7604787.88529696,,5440771.125550423,1980912.8987219417,4025294.812587262,,16235337.772527117,8101242.616260337,8134095.156266781,,,,,,,21016684.566641606,16095485.984319622,4921198.582321985,24122.006229191276,136111936.3000752,2016
118544777.68572019,58455064.00652064,15550077.109987615,42904986.89653302,38708794.91115736,32913897.58666942,5794897.324487945,82193.58232200646,7532668.1799422195,,4101820.5220800657,2174878.250103178,1670936.8551382583,492016.0957490714,5326405.282707388,4187383.4089971106,1139021.8737102766,,,,,,,22094966.54973174,17696587.367636926,4398379.182094811,126105.85740817168,140765850.0928601,2017
121352059.32948,68060908.043962,17793463.790163,50267444.253799,40856077.707522005,34478565.324537,6377512.382985,79869.919,7703514.766,,469733.314136,2214402.249344,1517545.879,294072.767,155934.683516,139453.317449,16481.366067,,,,,,,23071889.0,19061512.0,4010377.0,7.395,144423955.72448,2018
126141565.30775143,68464122.60695852,17561784.005203277,50902338.60175524,42619933.492076494,35606155.98868112,7013777.503395371,82630.44619524924,8353478.0327552995,821414.5351435452,69894.79651926781,2324028.1610703273,1563828.0734865123,434533.62331406545,107806.92448073217,98592.98711368015,9213.937367052022,70948.75337186897,1096650.8333333333,132295.02904624277,,,,25328318.709956646,21210194.17485764,4118124.53509901,135955.35239210018,151605839.3701002,2019
116086698.99031276,66118012.93907565,17663236.251213502,48454776.68786214,37446576.91447849,30898149.986467484,6548426.928010998,39306.67863955252,7687709.557262041,886264.814093667,25990.77065699659,1392685.6901317786,1254012.2675094805,279580.73961130076,52422.32950985969,44067.957599544934,8354.371910314754,304119.82366325374,595241.7036405007,4774.762040197194,,,,22532440.709182784,19292316.276672356,3240124.432510429,,138619139.69949555,2020
125317117.13612242,69635843.51044372,15108927.442682886,54526916.067760825,41832662.12930166,34487264.02315681,7345398.1061448455,75785.21167821765,8847073.314783234,899863.2738443587,29624.13225024684,1373919.61558747,1615523.6986069477,300071.1435239207,34786.60113454807,29411.457118750568,5375.144015797506,537745.343326452,130421.80970200164,3797.3519396822553,,,,30368886.654426,26069943.49757733,4298943.156848673,194044.86358405894,155880048.65413252,2021
142442622.4116552,81877181.20814805,19197069.95636753,62680111.25178051,44782606.66695377,35983434.25007776,8799172.416876016,106695.52143790617,10058512.875505833,49749.047734666354,8420.817902880266,2299282.2755724825,1734698.4646393717,336351.5718479727,45158.45820836309,42502.66464809966,2655.7935602634293,945634.0466555582,185222.0794604459,13109.377587875904,,,,38635722.16785369,33035795.381987736,5599926.78586596,132652.01083392845,181210996.5903428,2022
172218221.39954764,106857223.68648005,36838837.68129029,70018386.00518976,48116105.712468415,39087695.76975749,9028409.94271093,156607.01443665696,10172336.051707814,879407.433586262,7490.73846354923,2447144.8691119663,1731090.0624455418,417712.5094394424,79597.93902628521,76928.55599259367,2669.3830336915485,1331396.0862619807,3620.4745977345337,18488.82152192855,,,,30083196.099998552,25587760.097157672,4495436.002840879,223806.81330307867,202525224.31284925,2023
